,Description,ConduitType
11896,2 Inch Seal Tight Flex With Me,CONDUIT - FLEX
11901,1 Inch Seal Tight Flex With Me,CONDUIT - FLEX
11920,CONDUIT - GALV-STEEL 1IN,CONDUIT - GRC
11957,FLEX LIQ TIGHT CONDUIT,CONDUIT - FLEX
11977,2 Inch ( C ) Treaded Conduit B,UNK
11999,NIP-SQZ FLEX 257,CONDUIT - FLEX
12032,21015-257 NIP=FLEX,CONDUIT - FLEX
12195,1/2'' emt,CONDUIT - EMT
12196,3/4'' emt,CONDUIT - EMT
12198,2'' emt,CONDUIT - EMT
12227,"1/2"" mini's EMT",CONDUIT - EMT
12228,"3/4"" mini's EMT",CONDUIT - EMT
12238,"4"" EMT conduit",CONDUIT - EMT
12239,2' EMT conduit,CONDUIT - EMT
12240,"1/2"" EMT conduit",CONDUIT - EMT
12284,1 inch Greenfield flex STEEL,CONDUIT - FLEX
12285,3/4 inch Greenfield flex STEEL,CONDUIT - FLEX
12287,2 inch EMT,CONDUIT - EMT
12291,11/2 Greenfield flex,CONDUIT - FLEX
12295,11/2 EMT Conduit,CONDUIT - EMT
12331,3/4'' EMT,CONDUIT - EMT
12348,1 Inch Greenfield Flex Steel,CONDUIT - FLEX
12349,3/4 Inch Greenfield Flex Steel,CONDUIT - FLEX
12378,3/4 Rigid Conduit,CONDUIT - GRC
12425,1/2-RIGID CONDUIT,CONDUIT - GRC
12454,1/2-ALUMINUM FLEXIBLE CONDUIT,CONDUIT - FLEX
12473,"4"" emt conduit",CONDUIT - EMT
12541,1/2” emt,CONDUIT - EMT
12555,"4"" EMT",CONDUIT - EMT
12567,1/2 greenfield flex steel,CONDUIT - FLEX
12625,[Steel Metallic Flexible Condu,CONDUIT - FLEX
12661,"EMT Conduit, 1/2"", Galvanized",CONDUIT - EMT
13220,TRANSFER PVC FROM JXLTG TO FT ,CONDUIT - PVC
13221,TRANSFER PVC FROM JXLTG TO FT,CONDUIT - PVC
13307,"3/4"" Rigid Metal Conduit",CONDUIT - GRC
13308,"1"" Rigid Metal Conduit",CONDUIT - GRC
13309,"1-1/4"" Rigid Metal Conduit",CONDUIT - GRC
13310,"2"" Rigid Metal Conduit",CONDUIT - GRC
13311,"2-1/2"" Rigid Metal Conduit",CONDUIT - GRC
13312,"4"" Rigid Metal Conduit",CONDUIT - GRC
13328,1-IN D/C SQZ FLEX CON,CONDUIT - FLEX
13329,3/4IN STEEL FLEX UL COND 100FT,CONDUIT - FLEX
13360,1 1/2 “ Pvc  Conduit,CONDUIT - PVC
13375,1in pvc pipe,CONDUIT - PVC
13380,2in pvc pipe,CONDUIT - PVC
13411,2” Pvc Lbs,CONDUIT - PVC
13419,2IN UNIVERSAL RIGID/CONDUIT C,CONDUIT - GRC
13420,PVC 200P 2IN SCH40 PVC CONDUIT,CONDUIT - PVC
13421,PVC 212P 2-1/2IN SCH40 PVC PIP,CONDUIT - PVC
13422,PVC 100P 1IN SCH40 PVC PIPE,CONDUIT - PVC
13431,3/4IN NM FLEX PVC CONDUIT 100,CONDUIT - FLEX
13440,1 1/4 “  Pvc,CONDUIT - PVC
13451,1” Pvc,CONDUIT - PVC
13462,2” Pvc,CONDUIT - PVC
13464,2 1/2”pvc Conduit,CONDUIT - PVC
13468,3” Pvc  Conduit,CONDUIT - PVC
13476,PVC 034P 3/4IN SCH40,CONDUIT - PVC
13477,PVC 114P 1-1/4IN SCH40,CONDUIT - PVC
13478,PVC 112P 1-1/2 SCH40,CONDUIT - PVC
13479,3/4 pvc pipe,CONDUIT - PVC
13485,2”pvc,CONDUIT - PVC
13486,2 1/2 “ Pvc,CONDUIT - PVC
13487,1 1/4” Pvc,CONDUIT - PVC
13488,1 1/2” Pvc,CONDUIT - PVC
13494,"3/4"" PVC ",CONDUIT - PVC
13521,3/4” Pvc Conduit,CONDUIT - PVC
13524,3/4” Rigid Conduit,CONDUIT - GRC
13527,2” PVC Conduit,CONDUIT - PVC
13539,1 1/2” Pvc Conduit,CONDUIT - PVC
13540,1 1/4”Pvc Conduit,CONDUIT - PVC
13557,"3/4"" PVC pipe schedule 40",CONDUIT - PVC
13573,"1 1/2"" PVC pipe",CONDUIT - PVC
13574,"2 1/2"" PVC conduit",CONDUIT - PVC
13585,1 1/4” Pvc Conduit,CONDUIT - PVC
13591,"3"" rigid conduit",CONDUIT - GRC
13592,"2 1/2"" rigid conduit",CONDUIT - GRC
13593,"4"" rigid conduit",CONDUIT - GRC
13597,"4"" SCH 80 PVC",CONDUIT - PVC
13598,"2 1/2"" sch 40 PVC",CONDUIT - PVC
13601,"3"" sch 40 PVC",CONDUIT - PVC
13602,"2"" sch 40 PVC",CONDUIT - PVC
13603,"1 1/4"" sch 40 PVC",CONDUIT - PVC
13604,"1"" sch 40 PVC",CONDUIT - PVC
13605,"3/4"" sch 40 PVC",CONDUIT - PVC
13625,"3/4"" PVC",CONDUIT - PVC
13632,"2 1/2"" Rigid conduit",CONDUIT - GRC
13671,"3/4"" EMT Conduit",CONDUIT - EMT
13674,"1"" EMT Conduit",CONDUIT - EMT
13675,"2"" EMT Conduit",CONDUIT - EMT
13676,"2-1/2"" EMT Conduit",CONDUIT - EMT
13698,"1-1/4"" EMT Conduit",CONDUIT - EMT
13701,"3"" EMT Conduit",CONDUIT - EMT
13702,"4"" EMT Conduit",CONDUIT - EMT
13725,Flex Cnnectors,CONDUIT - FLEX
13740,3/4 Emt Red In Color,CONDUIT - EMT
13765,4” Seal Tight Flex,CONDUIT - FLEX
13791,3/4 flex,CONDUIT - FLEX
13803,3/4 steel flex,CONDUIT - FLEX
13811,3/4IN STEEL FLEX UL COND 100F,CONDUIT - FLEX
13833,"1"" FLEX",CONDUIT - FLEX
13834,"3/4"" FLEX",CONDUIT - FLEX
13866,STL FLEX 1-1/2,CONDUIT - FLEX
13867,STL FLEX 2-1/2,CONDUIT - FLEX
13878,FLEX 1,CONDUIT - FLEX
13883,SQZ FLEX 2-1/2,CONDUIT - FLEX
13910,3/8 FLEX,CONDUIT - FLEX
13987,LT STR FLEXCON 2-1/2,CONDUIT - FLEX
14089,1/2” Emt,CONDUIT - EMT
14128,"3/4"" emt ",CONDUIT - EMT
14129,"1"" emt ",CONDUIT - EMT
14149,"1/2"" carflex",CONDUIT - FLEX
14177,"3/4"" GRC CONDUIT",CONDUIT - GRC
14193,"3/4"" Red EMT",CONDUIT - EMT
14194,"2"" rigid conduit",CONDUIT - GRC
14198,3'' seal tight flex,CONDUIT - FLEX
14222,3/4'' rigid conduit,CONDUIT - GRC
14230,"3/4"" LL conduit outlet w/ cove",UNK
14232,"3/4"" LB conduit outlet w/ cove",UNK
14236,"TC 1277 3/4"" RIGID IRON PIPE S",CONDUIT - GRC
14243,MIDWEST 511 3/4 RGD 3/4 EMT C,CONDUIT - EMT
14280,"3/4"" Carlon Carflex",CONDUIT - FLEX
14283,"3/4"" sealtight flex",CONDUIT - FLEX
14328,"1 1/2"" metal flex",CONDUIT - FLEX
14329,"1 1/4"" metal flex",CONDUIT - FLEX
14330,"1 1/2"" rigid conduit",CONDUIT - GRC
14331,"1 1/4"" rigid conduit",CONDUIT - GRC
14350,"1"" metal flex",CONDUIT - FLEX
14384,"3/8"" FLEXSTEEL CONDUIT",CONDUIT - FLEX
14433,"4"" steel flex",CONDUIT - FLEX
14434,"3"" steel flex",CONDUIT - FLEX
14435,"2 1/2"" steel flex",CONDUIT - FLEX
14436,"2"" steel flex",CONDUIT - FLEX
14437,"1 1/4"" steel flex",CONDUIT - FLEX
14445,"3/4"" sealtight flex (metal in",CONDUIT - FLEX
14476,"1 1/4"" EMT",CONDUIT - EMT
14488,"3/4"" Rigid conduit",CONDUIT - GRC
14491,"2"" Rigid conduit",CONDUIT - GRC
14549,"3/4"" steel flex",CONDUIT - FLEX
14631,"2"" Sealtight",CONDUIT - FLEX
14636,3-STEEL THINWALL CONDUIT,CONDUIT - GRC
14652,EMT PY26-100E 1 IN. EMT CONDUI,CONDUIT - EMT
14669,"Master bundle 3/4"" EMT",CONDUIT - EMT
14672,"Master bundle red 3/4"" EMT",CONDUIT - EMT
14694,"Master bundle of 1"" EMT",CONDUIT - EMT
14750,"1/2"" Metal-Flex Conduit-Steel",CONDUIT - FLEX
14752,"3/4"" Metal-Flex Conduit-Steel",CONDUIT - FLEX
14753,"1"" Metal-Flex Conduit-Steel",CONDUIT - FLEX
14754,"1-1/4"" Metal-Flex Conduit-Stee",CONDUIT - FLEX
14780,3/4 galv pipe,UNK
14792,1/2” Seal Tight Flex,CONDUIT - FLEX
14798,2” steal flex,CONDUIT - FLEX
14825,3/4” Seal Tight Flex,CONDUIT - FLEX
14828,1/2” Sealtight Flex,CONDUIT - FLEX
14829,1/2” Sealtight Conectors,CONDUIT - FLEX
14847,"2"" sealtight",CONDUIT - FLEX
15180,"2"" PVC Conduit, 20', Schedule ",CONDUIT - PVC
15181,"1-1/2"" PVC Conduit, 20', Sched",CONDUIT - PVC
15182,"1-1/4"" PVC Conduit, 20'",CONDUIT - PVC
15204,PIPE FRT,UNK
15246,1 Inch Pvc Pipe ,CONDUIT - PVC
15247,1 1/2 pvc pipe,CONDUIT - PVC
15248,1 1/4 pvc pipe,CONDUIT - PVC
15282,1” pvc conduit,CONDUIT - PVC
15289,1” PVC CONDUIT,CONDUIT - PVC
15312,"1 1/2"" PVC CONDUIT",CONDUIT - PVC
15329,1”carflex,CONDUIT - FLEX
15350,1” Carflex,CONDUIT - FLEX
15517,"1"" PVC Conduit, 10', Schedule",CONDUIT - PVC
15518,"3/4"" PVC Conduit, 10', Schedu",CONDUIT - PVC
15676,LT FLEX 1-1/2,CONDUIT - FLEX
15771,"5"" PVC Conduit, 10', Schedule",CONDUIT - PVC
15774,"3"" x 3"" PVC Conduit Base Duct",CONDUIT - PVC
15775,"4"" x 3"" PVC Conduit Base Duct",CONDUIT - PVC
15780,"5"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
15793,"Rigid Conduit, 1"", Galvanized ",CONDUIT - GRC
15830,4 GRC,CONDUIT - GRC
15863,"5"" PVC Sweep",CONDUIT - PVC
15882,"Rigid Conduit, 1-1/2"", Galvani",CONDUIT - GRC
15891,"Rigid Conduit, 2-1/2"", Galvani",CONDUIT - GRC
15896,"2-1/2"" PVC schedule 40",CONDUIT - PVC
15899,"3-1/2"" PVC schedule 40",CONDUIT - PVC
15900,"4"" GRC ",CONDUIT - GRC
15936,"[GRC/RMC] 3"", 10' Sticks",CONDUIT - GRC
15993,Thomas & Betts 371 Conduit Hu,UNK
16001,"5"" PVC SCH 40",CONDUIT - PVC
16059,"[PVC] 5"", Schedule 40, 10' Sti",CONDUIT - PVC
16073,6x6x6 pvc weatherproof junctio,CONDUIT - PVC
16393,"4"" x 6"" Galvanized Conduit Nip",CONDUIT - GRC
16404,"4"" x 8"" Galvanized Conduit Nip",CONDUIT - GRC
16414,1 1/2” Carflex/liquid tight no,CONDUIT - FLEX
16469,"1"" x 1-1/2"" Galvanized Conduit",CONDUIT - GRC
16488,"3/4"" x 2"" Galvanized Conduit N",CONDUIT - GRC
16639,"3"" PVC",CONDUIT - PVC
16646,"Rigid Conduit, 3"", Galvanized ",CONDUIT - GRC
16745,6x6x6 Sch 40 PVC WP Junction B,CONDUIT - PVC
16798,"4"" PVC SCHEDULE 40",CONDUIT - PVC
16803,"3"" PVC SCHEDULE 40 CONDUIT",CONDUIT - PVC
16808,"2"" PVC SCHEDULE 40",CONDUIT - PVC
16814,"1 1/2"" PVC SCHEDULE 40 CONDUIT",CONDUIT - PVC
16844,"1"" PVC Conduit schedule 40",CONDUIT - PVC
16845,"1 1/4"" PVC Conduit Sch 40",CONDUIT - PVC
16847,"4"" Sch 40 PVC",CONDUIT - PVC
16933,"2” Ridgid Conduit, 10’ Long.",UNK
16953,2 1/2 IN Conduit Liquid Tight,CONDUIT - FLEX
16964,3/4 IN Conduit Liquid Tight No,CONDUIT - FLEX
17072,"2"" Liquid tight conduit",CONDUIT - FLEX
17077,"3/4"" PVC Conduit (10 FT stick)",CONDUIT - PVC
17078,"1 1/4"" PVC Conduit (10 FT stic",CONDUIT - PVC
17079,"1 1/2"" PVC conduit (10 FT stic",CONDUIT - PVC
17098,"3/4"" PVC Conduit (10 FT stick",CONDUIT - PVC
17099,"1 1/4"" PVC Conduit (10 FT sti",CONDUIT - PVC
17100,"1 1/2"" PVC conduit (10 FT sti",CONDUIT - PVC
17134,"2"" PVC MA",CONDUIT - PVC
17161,"1 1/2"" LTFNMC (Car Flex)",CONDUIT - FLEX
17178,EMT 100 1X10FT-EMT,CONDUIT - EMT
17186,"JM eagle 2"" X 10' PVC SCH 40 c",CONDUIT - PVC
17574,"3/4"" EMT CONDUIT 10FT STICK",CONDUIT - EMT
17653,2” Rigid Conduit 10 FT,CONDUIT - GRC
17843,"1/2 "" Metal Flex",CONDUIT - FLEX
17913,3/4 EMT Conduit,CONDUIT - EMT
17923,"1"" Metal Flex conduit",CONDUIT - FLEX
17937,2 IN PVC Conduit 10 FT stick S,CONDUIT - PVC
17951,"3/4 "" PVC 10 FT Conduit",CONDUIT - PVC
17969,"1/2 "" EMT conduit 10FT",CONDUIT - EMT
17972,"1"" NM Conduit (Liquid Tight)",CONDUIT - FLEX
18008,3/4 Metal liquid tight conduit,CONDUIT - FLEX
18061,PVC COND 2-1/2,CONDUIT - PVC
18065,"1 1/2""  PVC SCH 40",CONDUIT - PVC
18079,"1-1/4"" PVC Conduit, 10', Sche",CONDUIT - PVC
18106,2 in. x 10 ft. PVC Schedule 40,CONDUIT - PVC
18114,"1-1/2"" PVC Sweep",CONDUIT - PVC
18152,"[PVC] 2 1/2"", Schedule 80, 10'",CONDUIT - PVC
18262,"3/4"" Smurf Conduit",CONDUIT - ENT
18367,"EMT 3/4"" CONDUIT",CONDUIT - EMT
18400,"1/2"" EMT Conduit",CONDUIT - EMT
18424,Liquidtight Flexible Steel Con,CONDUIT - FLEX
18567,"2 1/2""  PVC SCH 40 (20' LENGT",CONDUIT - PVC
18862,4in pvc pipe,CONDUIT - PVC
18864,"4"" PVC SCHED 40",CONDUIT - PVC
18865,"3"" PVC SCHED 40",CONDUIT - PVC
19038,"1"" pvc conduit schedule 40",CONDUIT - PVC
19071,"1"" PVC",CONDUIT - PVC
19074,"1/2"" pvc pipe X 10' length",CONDUIT - PVC
19075,"1/2"" pvc T.A'S",CONDUIT - PVC
19076,"3/4"" pvc pipe X 10' length",CONDUIT - PVC
19081,1/2-GALV; CONDUIT,UNK
19088,10' STICK PVC PIPE,CONDUIT - PVC
19089,"3/4"" PVC T.A.'S",CONDUIT - PVC
19091,"3/4"" PVC L.B.",CONDUIT - PVC
19118,PVC PIPE 1/2,CONDUIT - PVC
19119,PVC PIPE 3/4,CONDUIT - PVC
19160,"2"" ENT",CONDUIT - ENT
19233,2-1/2 PVC,CONDUIT - PVC
19247,3/4 MET LT FLEX,CONDUIT - FLEX
19273,"1"" PVC schedule 40",CONDUIT - PVC
19288,1'' PVC COND,CONDUIT - PVC
19303,"4"" pvc schedule 40",CONDUIT - PVC
19322,"4"" PVC TA",CONDUIT - PVC
19332,"1"" pvc schedule 40",CONDUIT - PVC
19347,"1"" emt",CONDUIT - EMT
19361,"3"" pvc LB",CONDUIT - PVC
19451,"4"" metal flex",CONDUIT - FLEX
19509,3/4 PVC LB,CONDUIT - PVC
19523,3/4 pvc,CONDUIT - PVC
19585,"2"" STICK EMT",CONDUIT - EMT
19589,"EMT 3/4"" PULLING L",CONDUIT - EMT
19599,"Conduit 1-1/2"" NM",UNK
19620,"3/4"" Liquid tight conduit",CONDUIT - FLEX
19976,"3/4"" pvc",CONDUIT - PVC
19993,1in pvc pipe 10' total,CONDUIT - PVC
19995,"20' total 2 1/2"" PVC",CONDUIT - PVC
20000,"1"" PVC ",CONDUIT - PVC
20016,"300' 3/4"" EMT",CONDUIT - EMT
20020,"200' 1/2"" EMT",CONDUIT - EMT
20058,"4"" PVC Sch 40",CONDUIT - PVC
20059,"3.5"" PVC Sch 40",CONDUIT - PVC
20095,2-1/2” Pvc,CONDUIT - PVC
20108,"2-1/2"" PVC Weather good for 25",CONDUIT - PVC
20146, 3/4 ENT,CONDUIT - ENT
20160,"3/4"" Metal Flex",CONDUIT - FLEX
20261,1/2 aluminum flex,CONDUIT - FLEX
20300,1/2 liquidtight conduit non me,CONDUIT - FLEX
20329,"3"" metal flex",CONDUIT - FLEX
20332,"2 1/2"" emt",CONDUIT - EMT
20336,"1"" car flex",CONDUIT - FLEX
20340,3/4  EMT,CONDUIT - EMT
20412,"EMT 3/4"" Conduit",CONDUIT - EMT
20415,1/2 ALUMINUM flex,CONDUIT - FLEX
20425,1/2 sealtight carflex 2000 ft.,CONDUIT - FLEX
20434,"1/2 "" carflex",CONDUIT - FLEX
20436,3/4 EMT conduit,CONDUIT - EMT
20482,3/4 pvc lb,CONDUIT - PVC
20483,"6' total 2 1/2"" Flex Non Metal",CONDUIT - FLEX
20771,"100' total 1-1/2"" pvc sch 40",CONDUIT - PVC
20779,"400' total 3"" PVC Sch 40 10' ",CONDUIT - PVC
20788,"40 foot 3"" PVC Conduit Sch 40",CONDUIT - PVC
20789,"3"" PVC LB's",CONDUIT - PVC
20796,"4"" PVC SCH 40 by 10' Long",CONDUIT - PVC
20797,"3"" PVC SCH 40 by 10' Long",CONDUIT - PVC
20806,"100' 3"" PVC Sch 40 10 foot lon",CONDUIT - PVC
20813,"2000' Total 1-1/4"" pvc",CONDUIT - PVC
20820,"100' Total 3"" PVC SCH 40",CONDUIT - PVC
20821,"100' Total 1-1/2"" PVC SCH 40",CONDUIT - PVC
20834,"50' - 2"" PVC Sch 40",CONDUIT - PVC
20842,PVC-F LB20,CONDUIT - PVC
20845,"250' 2"" PVC Conduit",CONDUIT - PVC
20857,"200' 2"" PVC Sch 40",CONDUIT - PVC
20858,"200' 1-1/2"" PVC Sch 40",CONDUIT - PVC
20859,"200' 1-1/4"" PVC Sch 40",CONDUIT - PVC
20860,"200' 1"" PVC Sch 40",CONDUIT - PVC
20866,"3/4"" GRC x 10' ",CONDUIT - GRC
20889,"Link Seals 4"" PVC EATON LSA30",CONDUIT - PVC
20898,24” x 9” X 6” PVC Junction Bo,CONDUIT - PVC
20918,"3-1/2"" PVC Conduit, 10', Sched",CONDUIT - PVC
20974,RACO 509 3X2 OLD WORK CONDUIT ,UNK
20995,"1/2"" Carflex ",CONDUIT - FLEX
21022,"20' total - 3"" GRC",CONDUIT - GRC
21042,"3/4"" ENT ( smurf Tube )",CONDUIT - ENT
21061,"3/4"" & 1"" KO's PVC ENT Slab Bo",CONDUIT - ENT
21108,"1000' 1-1/4"" smurf tube",CONDUIT - ENT
21109,"1000' 1"" smurf tube",CONDUIT - ENT
21110,"3/4"" smurf tube",CONDUIT - ENT
21114,"200' 2"" EMT",CONDUIT - EMT
21118,"4"" EMT ",CONDUIT - EMT
21149,"[ENT] 1"", 100'",CONDUIT - ENT
21168,2” Ridgid Conduit,UNK
21169,3/4” Ridgid Conduit,UNK
21235,"sticks of 3/4"" PVC",CONDUIT - PVC
21316,"[ENT] 3/4"", 100'",CONDUIT - ENT
21325,"4,310' 3"" EMT 10' Sections",CONDUIT - EMT
21330,"3,400' 2-1/2"" EMT 10' Sections",CONDUIT - EMT
21346,"[ENT] 1 1/4"", 1000'",CONDUIT - ENT
21399,"2-1/2"" EMT",CONDUIT - EMT
21400,"1-1/2"" EMT ",CONDUIT - EMT
21430,3/4-ALUMINUM FLEXIBLE CONDUIT,CONDUIT - FLEX
21435,233A 3-30D-EMT-ELL STD RAD,CONDUIT - EMT
21473,Liquid Tight Flexible Conduit ,CONDUIT - FLEX
21483,233 15007-CUT REEL 3/4 LT FLEX,CONDUIT - FLEX
21484,233 3-30D-EMT-ELL,CONDUIT - EMT
21485,233 4-30D-EMT-ELL,CONDUIT - EMT
21492,3/4- STEEL THINWALL CONDUIT,CONDUIT - GRC
21496,GENERIC VENDOR-PVCPA JUNCTION ,CONDUIT - PVC
21532,1-1/4” smurf ENT 500’,CONDUIT - ENT
21570,3-30D-EMT-ELL,CONDUIT - EMT
21571,4-30D-EMT-ELL,CONDUIT - EMT
21601,"200' 1"" EMT",CONDUIT - EMT
21660,[Metallic Flexible Conduit] S,CONDUIT - FLEX
21700,"[PVC] 1/2"", Schedule 40, 10' ",CONDUIT - PVC
21846,"3/4"" carflex",CONDUIT - FLEX
21856,3/4 CARFLEX,CONDUIT - FLEX
21864,1/2'' EMT PIPE,CONDUIT - EMT
21866,"EMT 3/4"" Pipe",CONDUIT - EMT
21915,carflex 3/4,CONDUIT - FLEX
21921,3/4 carflex,CONDUIT - FLEX
22002,"200' 1/2"" non metallic flex",CONDUIT - FLEX
22007,"300' 1"" EMT",CONDUIT - EMT
22008,"500' 4"" EMT",CONDUIT - EMT
22043,"[ENT] 1"", 500'",CONDUIT - ENT
22057,"[ENT] 3/4"", 300'",CONDUIT - ENT
22078,"[ENT] 3/4"", 500'",CONDUIT - ENT
22103,"Calbrite S60500MH00 1/2"" Pipe ",UNK
22447,Klein Tool 50350 13” Flexible ,CONDUIT - FLEX
22554,CAT 6 - PVC JACKET - BLUE,CONDUIT - PVC
22613,Liquid-Tight Flexible Nonmetal,CONDUIT - FLEX
22650,"Blue ENT, 3/4"", 1000 Ft Roll ",CONDUIT - ENT
22673,KYL 012011 *3/4INX1000FT ENT U,CONDUIT - ENT
22701,"[ENT] 3/4"", 750'",CONDUIT - ENT
22723,Arlington 5010AST MC/AC/Flex C,CONDUIT - FLEX
22960,PVC 5-IN-SCHED-40 CONDUIT,CONDUIT - PVC
22968,"3"" x 10'  PVC ",CONDUIT - PVC
22970,"2"" x 10' pvc  ",CONDUIT - PVC
22977,4 inch pvc,CONDUIT - PVC
23011,Thomas & Betts 3112 AC/Flex Co,CONDUIT - FLEX
23045,"[ENT] 1/2"", 10'",CONDUIT - ENT
23059,"[ENT] 1"", 1000'",CONDUIT - ENT
23434,1-inch ENT (grey),CONDUIT - ENT
23456,4-inch pvc,CONDUIT - PVC
23464,1-1/2 ENT,CONDUIT - ENT
23479,1 inch EMT,CONDUIT - EMT
23484,1Inch pvc,CONDUIT - PVC
23511,1/2 inch PVC,CONDUIT - PVC
23512,1/2 PVC LB's,CONDUIT - PVC
23580,"3/4"" seal tight conduit",CONDUIT - FLEX
23647,"Kraloy 012011 ENT, Gray w/ Bl",CONDUIT - ENT
23655,"Kraloy 012011 ENT, Gray w/ Blu",CONDUIT - ENT
23712,"Liquidtight Flexible Conduit,",CONDUIT - FLEX
24064,2” EMT,CONDUIT - EMT
24138,"1-1/2"" EMT Conduit, 10'",CONDUIT - EMT
24139,"1"" EMT Conduit, 10'",CONDUIT - EMT
24343,"[PVC] 3"", Schedule 40, 20' St",CONDUIT - PVC
24344,"[PVC] 6"", Schedule 40, 20' St",CONDUIT - PVC
24375,"[PVC] 6"", Schedule 40, 10' Sti",CONDUIT - PVC
24417,"[PVC] 3"", Schedule 40, 20’Stic",CONDUIT - PVC
24453,2 1/2 PVC pipe,CONDUIT - PVC
24520,Carlon E910F PVC Conduit Repai,CONDUIT - PVC
24567,"2.5"" schedule 80 pvc",CONDUIT - PVC
24572,"1.5"" schedule 80 pvc",CONDUIT - PVC
24578,"4"" schedule 40 pvc",CONDUIT - PVC
24596,"3/4"" pvc conduit",CONDUIT - PVC
24662,3” carflex,CONDUIT - FLEX
24716,"emt 1/2"" conduit",CONDUIT - EMT
24772,"3/4"" emt",CONDUIT - EMT
24793,"3"" emt",CONDUIT - EMT
24794,"2"" emt",CONDUIT - EMT
24849,"3"" emt ",CONDUIT - EMT
24855,"2"" pvc LB (weatherproof)",CONDUIT - PVC
24856,"2"" pvc",CONDUIT - PVC
24869,"1.5"" schedule 40 pvc",CONDUIT - PVC
24934,"3/4"" schedule 40 pvc",CONDUIT - PVC
24936,"1"" schedule 40 pvc",CONDUIT - PVC
24945,"EMT LB CONDUIT 1""",CONDUIT - EMT
24946,"3/4"" emt lb",CONDUIT - EMT
24950,"3/4"" fmc to emt transition",CONDUIT - EMT
24967,"2.5"" schedule 40 pvc",CONDUIT - PVC
24974,"1"" emt to fmc transition",CONDUIT - EMT
25018,"1/2"" EMT PIPE",CONDUIT - EMT
25019,"3/4"" EMT PIPE",CONDUIT - EMT
25311,"3/4"" PVC PIPE",CONDUIT - PVC
25314,"1/2"" PVC",CONDUIT - PVC
25318,"1/2"" CARFLEX",CONDUIT - FLEX
25325,"1/2"" METAL FLEX",CONDUIT - FLEX
25340,3/4 PVC SCH 40 CONDUIT,CONDUIT - PVC
25354,"1-1/2"" PVC ",CONDUIT - PVC
25375,"3"" pvc sch 80 10'",CONDUIT - PVC
25378,1-1/2 sch 40 pvc,CONDUIT - PVC
25379,"4"" sch 40 pvc",CONDUIT - PVC
25396,"3"" pvc weatherheads",CONDUIT - PVC
25419,"4"" pvc sch 40 pipe",CONDUIT - PVC
25425,"2.5"" pvc schedule 40 conduit",CONDUIT - PVC
25428,"2"" pvc sch 40 conduit",CONDUIT - PVC
25429,"4"" pvc sch 40 conduit",CONDUIT - PVC
25433,"4"" PVC Schedule  40",CONDUIT - PVC
25437,"Rigid Conduit, 1-1/2"", Galvan",CONDUIT - GRC
25441,"4"" pvc sch 40 pipe 10' sticks",CONDUIT - PVC
25445,"3/4"" pvc pipe 10' sticks",CONDUIT - PVC
25464,"4"" PVC Schedule 40 (20 foot s",CONDUIT - PVC
25491,"2 1/2"" pvc pipe",CONDUIT - PVC
25498,"4"" PVC Coated GRC",CONDUIT - GRC
25499,"3"" PVC Coated GRC",CONDUIT - GRC
25500,"2.5"" PVC Coated GRC",CONDUIT - GRC
25501,"2"" PVC Coated GRC",CONDUIT - GRC
25502,"1.5"" PVC Coated GRC",CONDUIT - GRC
25503,"1.25"" PVC coated GRC",CONDUIT - GRC
25504,"1"" PVC Coated GRC",CONDUIT - GRC
25543,"2"" sch 40 pvc 10'",CONDUIT - PVC
25544,"1.5"" sch 40 pvc 10'",CONDUIT - PVC
25585,"PVC Coated Rigid Conduit, 4"", ",CONDUIT - GRC
25586,"PVC Coated Conduit, 2-1/2"", 10",CONDUIT - PVC
25587,"PVC Coated Rigid Conduit, 2"", ",CONDUIT - GRC
25588,"PVC Coated Rigid Conduit, 1-1/",CONDUIT - GRC
25590,"PVC Coated Rigid Conduit, 1"", ",CONDUIT - GRC
25677,"PVC Coated Rigid Conduit, 3"", ",CONDUIT - GRC
25680,1-1/2” pvc scd 40,CONDUIT - PVC
25700,4” Scd 40 PVC,CONDUIT - PVC
25721,2'' PVC RGD COND,CONDUIT - PVC
25723,"2-1/2"" PVC Coated Rigid Condui",CONDUIT - GRC
25748,"4"" PVC Sched 40 10' sections",CONDUIT - PVC
25756,"PVC Coated Rigid Conduit, 2"",",CONDUIT - GRC
25781,"400' x 4"" PVC Schedule 40",CONDUIT - PVC
25783,3/4 Emt conduit,CONDUIT - EMT
25805,"3"" PVC schedule 40 conduit",CONDUIT - PVC
25913,RIDGID1 Gal. Dark Pipe Threadi,UNK
25920,1-1/2 CONDUIT,UNK
25921,2-1/2 CONDUIT,UNK
25937,"3"" pvc conduit",CONDUIT - PVC
26025,2-1/2 carflex,CONDUIT - FLEX
26076,3/4” Emt,CONDUIT - EMT
26077,2-1/2” Pvc Coated Rigid,CONDUIT - GRC
26133,"3/4"" EMT         ",CONDUIT - EMT
26151,"2"" EMT       15°",CONDUIT - EMT
26152,"2"" EMT       30°",CONDUIT - EMT
26163,"2 1/2"" EMT",CONDUIT - EMT
26165,"2 1/2"" EMT       30°",CONDUIT - EMT
26199,1/2” Greenfield to emt transit,CONDUIT - EMT
26226,"[GRC/RMC] 1"", PVC Coating, 10",CONDUIT - GRC
26260,1 1/2” pvc conduit Schedule 40,CONDUIT - PVC
