Description,ActualLabel
"[THHN Wire] Red, 3 AWG, Copper",Wire
"[THHN Wire] Blue, 3 AWG, Coppe",Wire
"[THHN Wire] White, 3 AWG, Copp",Wire
"[THHN Wire] Black, 2/0 AWG, Co",Wire
"[THHN Wire] Red, 2/0 AWG, Copp",Wire
"[THHN Wire] Blue, 2/0 AWG, Cop",Wire
"[THHN Wire] White, 2/0 AWG, Co",Wire
"[THHN Wire] Green, 4 AWG, Copp",Wire
"[THHN Wire] Black, 1/0 AWG, Co",Wire
"[THHN Wire] Blue, 1/0 AWG, Cop",Wire
"[THHN Wire] Red, 1/0 AWG, Copp",Wire
"[THWN/2 Wire] White, 10 AWG, C",Wire
"[THWN/2 Wire] Black, 14 AWG, C",Wire
"[THWN/2 Wire] Red, 14 AWG, Cop",Wire
"[THWN/2 Wire] Green, 14 AWG, C",Wire
"[THWN/2 Wire] Blue, 14 AWG, Co",Wire
"[THWN/2 Wire] Brown, 14 AWG, C",Wire
"[THWN/2 Wire] Yellow, 14 AWG, ",Wire
"[NM-B Wire] 12/2, Yellow, 1000",Wire
"[NM-B Wire] 12/3, Yellow, 1000",Wire
"[NM-B Wire] 6/2, ROMEX 1000'",Wire
"[THWN/2 Wire] Red, 14 AWG, Co",Wire
"[THWN/2 Wire] Black, 14 AWG, ",Wire
"[THWN/2 Wire] Blue, 14 AWG, C",Wire
"[THWN/2 Wire] Yellow, 14 AWG,",Wire
"[THWN/2 Wire] Green, 14 AWG, ",Wire
"[NM-B Wire] 6/2, Black, 1000'",Wire
"18/2, FPLR, Non-Plenum, Unshie",Wire
"[THWN/2 Wire] Brown, 14 AWG, ",Wire
"[NM-B Wire] 6/3, Black, 1000'",Wire
"[THHN Wire] Black, 4/0 AWG, Co",Wire
14/2 NM-B Solid Copper White 5,Wire
2 AWG THHN/THWN-2 Stranded Cop,Wire
"Type THHN Building Wire, Reel ",Wire
12/2 UF/NMC Copper Gray 250',Wire
cat6,Wire
18/2,Wire
14/2 blue F/A Wire,Wire
12/2 uf,Wire
"[Bare Copper Wire] 3/0 AWG, S",Wire
"3/4"" Rod and 3/0 Wire Ground C",Wire
#4 awg green xhhw alum,Wire
"3M SI-1 Cable Stacker, Nail-O",Wire
"3M SI-1 Cable Stacker, Nail-On",Wire
6/3 ROMEX,Wire
10/2 ROMEX,Wire
10/3 ROMEX,Wire
12/3 ROMEX,Wire
14/3 ROMEX,Wire
THHN-6-STR-BLK-CUT REEL (1000',Wire
THHN-8-STR-BLK-CUT REEL (1000',Wire
#10 Solid THHN Black (2500' Sp,Wire
#10 Solid THHN RED (2500' Spoo,Wire
#10 Solid THHN GREEN (2500' Sp,Wire
#10 Solid THHN WHITE (2500' Sp,Wire
# 1 GREEN Aluminum XHHW ,Wire
# 4 GREEN Aluminum XHHW ,Wire
2/0 GREEN Aluminum XHHW,Wire
250 mcm XHHW Aluminum ,Wire
# 4 awg Bare solid Copper ,Wire
12/2 RMX,Wire
4 AWG XHHW-2 Stranded Aluminum,Wire
1 AWG XHHW-2 Stranded Aluminum,Wire
#3/0 THHN CU Bare Stranded,Wire
2/0 AWG XHHW-2 Stranded Alumin,Wire
#1 AWG XHHW-2 Stranded Aluminu,Wire
NM-B - 12/2 Solid Copper Yell,Wire
"10 AWG THHN Solid Copper, Blue",Wire
8-2 ROMEX,Wire
#18 AWG THHN 600 V Rated Black,Wire
#18 AWG THHN 600 V Rated Red S,Wire
4/0 MCM THHN CU,Wire
350 MCM THHN CU,Wire
#1 THHN CU,Wire
1/0 THHN CU,Wire
#3 THHN CU,Wire
#8 THHN CU,Wire
250MCM XHHW AL,Wire
RG6 TV Wire,Wire
3/0 3C ALUMINUM SER CABLE 1000,Wire
14/2 ROMEX 1000' reels,Wire
14/3 ROMEX 1000' reels,Wire
12/2 ROMEX 1000' reels,Wire
12/3 ROMEX 1000' reels,Wire
10/2 ROMEX 1000' reels,Wire
10/3 ROMEX 1000' reels,Wire
6/3 ROMEX 1000' reels,Wire
14/2 FPLP UNS BLUE (SPEAKER),Wire
General Cable 7131800 Datacomm,Wire
6/3 Romex 1000' Reels,Wire
250MCM CU THHN,Wire
#1 CU THHN GREEN,Wire
#4 THHN CU GREEN,Wire
133A G60004-22A 14/2 FPLP BLUE,Wire
142 PTS250 ALUM TIN 250MCMWIRE,Wire
COP RMX122WG250CL NM-B-12/2-CU,Wire
COP THHN12SOLBLK500RL THHN-12-,Wire
COP THHN12SOLWHT500RL THHN-12-,Wire
COP THHN12SOLGRN500RL THHN-12-,Wire
thhn-12-str-blk-500s,Wire
thhn-12-strwht-5003,Wire
thhn-12-str-grn-500s,Wire
thhn-12-str-red-500s,Wire
6/3 romex,Wire
"[NM-B Wire] 10/3, Orange, 50'",Wire
14/2 FPLP Plenum Shielded Fire,Wire
CERROWIRE 50 FT. 10/3 PINK SOL,Wire
Caweld Cable CLEANER T313,Wire
BARE 4/0 STR TINTED,Wire
1000ft. Romex 12/3,Wire
Romex 12/2,Wire
"18/2 CL3P Shielded/Plenum, Wh",Wire
GROUNDING BAR FOR 4 WIRE 12  H,Wire
5 WIRE 14 AWG SOLID WHIPS (LIG,Wire
CRESTON DALI CABLE (1) PAIR 18,Wire
CRESTON SENSOR CABLE 3 WIRE 18,Wire
10' 12 AWG CIELING WIRE W/ CLI,Wire
Ceiling Wire,Wire
4/0 tinted Bare wire,Wire
XHHW 6 STR,Wire
XHHW 250,Wire
XHHW 500,Wire
XHHW 3/0 STR,Wire
#12 Solid Black THHN COPPER,Wire
#12 Awg White THHN Copper,Wire
#12 Awg THHN GREEN copper Soli,Wire
#12 Awg Solid Red THHN copper,Wire
THHN-AL-750MCM,Wire
THHN-AL-3/0-STR,Wire
(3) 4/0 With (1) #4 Ground,Wire
ROMEX CABLE 12/3 WITH GROUND,Wire
AL SER CABLE 3/C 4/0 WITH GRO,Wire
AL SER CABLE 4/C #4 WITH GROU,Wire
ROMEX CABLE 12/2 WITH GROUND,Wire
12/2 MC SOL,Wire
"12 AWG THHN/THWN Solid Copper,",Wire
"12 AWG THHN Solid Copper, Oran",Wire
WIRE 229,Wire
4/0 AWG GREY AL THWN or XXHW. ,Wire
3/0 AWG GREY AL THWN or XXHW. ,Wire
3/0 AWG GREEN AL THWN or XXHW.,Wire
# 1  AWG GREEN AL THWN or XXHW,Wire
# 2 AWG CU THWN Green Provide ,Wire
# 3 AWG CU THWN Green Provide ,Wire
# 4  AWG CU GREEN THWN or XXHW,Wire
# 8  AWG CU THWN Green Provide,Wire
# 10  AWG CU THWN Green Provid,Wire
# 2  AWG CU THWN Green with y,Wire
500 Kcmil GREY AL THWN or XXHW,Wire
# 12  AWG CU THWN Green Provi,Wire
# 4  AWG CU BROWN THWN or XXH,Wire
# 4  AWG CU ORANGE THWN or XX,Wire
# 4  AWG CU YELLOW THWN or XX,Wire
# 4  AWG CU GREY THWN or XXHW,Wire
# 6  AWG CU THWN Brown Provid,Wire
# 6  AWG CU THWN Orange Provi,Wire
# 6  AWG CU THWN Yellow Provi,Wire
# 6  AWG CU THWN White Provid,Wire
# 6  AWG CU THWN Green Provid,Wire
# 10  AWG CU THWN Brown Provi,Wire
# 10  AWG CU THWN Orange Prov,Wire
# 10  AWG CU THWN Yellow Prov,Wire
# 10  AWG CU THWN Grey Provid,Wire
# 10  AWG CU THWN Grey with Y,Wire
# 10  AWG CU THWN Grey with a,Wire
# 10  AWG CU THWN Black Provi,Wire
# 10  AWG CU THWN Red Provide,Wire
# 10  AWG CU THWN Blue Provid,Wire
# 10  AWG CU THWN White Provi,Wire
# 10  AWG CU THWN Green with ,Wire
500 Kcmil BLACK AL THWN or XXH,Wire
500 Kcmil Red AL THWN or XXHW.,Wire
500 Kcmil BLUE AL THWN or XXHW,Wire
500 Kcmil WHITE AL THWN or XXH,Wire
500 Kcmil BROWN AL THWN or XXH,Wire
500 Kcmil ORANGE AL THWN or XX,Wire
500 Kcmil YELLOW AL THWN or XX,Wire
400 Kcmil WHITE AL THWN or XXH,Wire
350 Kcmil BROWN AL THWN or XXH,Wire
350 Kcmil ORANGE AL THWN or XX,Wire
350 Kcmil YELLOW AL THWN or XX,Wire
300 Kcmil BLACK AL THWN or XXH,Wire
300 Kcmil RED AL THWN or XXHW.,Wire
300 Kcmil BLUE AL THWN or XXHW,Wire
4/0 AWG WHITE AL THWN or XXHW.,Wire
3/0 AWG BROWN AL THWN or XXHW.,Wire
3/0 AWG ORANGE AL THWN or XXHW,Wire
3/0 AWG YELLOW AL THWN or XXHW,Wire
3/0 AWG WHITE AL THWN or XXHW.,Wire
2/0 AWG BROWN AL THWN or XXHW.,Wire
2/0 AWG ORANGE AL THWN or XXHW,Wire
2/0 AWG YELLOW AL THWN or XXHW,Wire
2/0 AWG GREY AL THWN or XXHW. ,Wire
2/0 AWG AL THWN GREEN with Yel,Wire
1/0 AWG BLACK AL THWN or XXHW.,Wire
1/0 AWG RED AL THWN or XXHW. P,Wire
1/0 AWG BLUE AL THWN or XXHW. ,Wire
1/0 AWG WHITE AL THWN or XXHW.,Wire
1/0 AWG BROWN AL THWN or XXHW.,Wire
1/0 AWG ORGANE AL THWN or XXHW,Wire
1/0 AWG YELLOW AL THWN or XXHW,Wire
1/0 AWG GREY AL THWN or XXHW. ,Wire
# 1  AWG BROWN AL THWN or XXHW,Wire
# 1  AWG ORANGE AL THWN or XXH,Wire
# 1  AWG YELLOW AL THWN or XXH,Wire
# 1  AWG GREY AL THWN or XXHW.,Wire
# 1  AWG WHITE AL THWN or XXHW,Wire
# 2  AWG AL BLACK THWN or XXHW,Wire
# 2  AWG AL RED THWN or XXHW. ,Wire
# 2  AWG AL BLUE THWN or XXHW.,Wire
# 2  AWG AL BROWN THWN or XXHW,Wire
# 2  AWG AL ORANGE THWN or XXH,Wire
# 2  AWG AL YELLOW THWN or XXH,Wire
2/0 ALLUMINUM THWN OR XXHW PRO,Wire
ALUM COND XHHW-2 600V/1000V,Wire
2500' 12 AWG SOLID GREEN,Wire
#12 Brown THHN 2500'  SOLID,Wire
#12 Yellow THHN 2500'  SOLID,Wire
#12 orange THHN 2500' SOLID,Wire
#12 Black THHN 2500' SOLID,Wire
#12 Red THHN 2500' SOLID,Wire
#12 Blue THHN 2500' SOLID,Wire
#12 grey with orange tracer TH,Wire
#12 grey with yellow tracer TH,Wire
#12 White with red tracer THHN,Wire
#12 White with blue tracer THH,Wire
#12 White THHN 2500' SOLID,Wire
#12 Gray THHN 2500' SOLID,Wire
3/0 ALUM. BLACK THWN OR XHHW P,Wire
3/0 ALUM. RED THWN OR XHHW PRV,Wire
3/0 ALUM. BLUE THWN OR XHHW PR,Wire
350 ALUM. WHITE THWN OR XHHW P,Wire
#3 ALUM GREEN THWN OR XHHW PRO,Wire
# 6  BROWN COPPER THWN OR XHHW,Wire
# 6  ORANGE COPPER THWN OR XHH,Wire
# 6  YELLOW COPPER THWN OR XHH,Wire
# 8. GREEN COPPER THWN OR XHHW,Wire
4/0 copper insulated green str,Wire
#4 COPPER THWN OR XXHW PROVIDE,Wire
#3 AWG GREEN THWN OR XHHW PROV,Wire
#8 AWG GREEN THWN OR XHHW PROV,Wire
#10 AWG GREEN  THWN OR XHHW Co,Wire
2/0 AWG GREEN THWN OR XHHW PRO,Wire
CAT5E PVC BLUE POP,Wire
SEQUEL CAT5E,Wire
# 14 THHN CU Grey,Wire
#6 bare stranded copper ground,Wire
WIRE NUMBERS 0-45,Wire
ideal wire numbers,Wire
#2  bare copper stranded,Wire
#6 bare copper stranded,Wire
Ideal 31-388 ClearGlide Wire P,Wire
10/3 With Ground Romex,Wire
12/2 Mc Cable,Wire
4/0 THHN Copper Cable,Wire
4/0 thhn wire,Wire
6” x 6” x 36”Wire gutter soli,Wire
12”x 12”x 48” Wire gutter sol,Wire
10”x 10” x36” Wire gutter soli,Wire
12/3 with ground romex,Wire
Green #12 Solid Copper,Wire
250 mcm copper THHN,Wire
Orande #12 Solid copper THHN,Wire
yellow #12 Solid copper THHN,Wire
#12 green Solid,Wire
#12 Red THHN solid copper 500 ,Wire
THHN-12-WHT-SOL-CU-500S/R,Wire
# 10 awg THHN Black Solid ,Wire
# 10 awg THHN Red Solid ,Wire
# 10 awg THHN Blue  Solid ,Wire
# 10 awg White solid with BLAC,Wire
# 10 awg White solid with RED ,Wire
# 10 awg White solid with BLUE,Wire
350 mcm xhhw COPPER  Black,Wire
# 1 awg XHHW GREEN copper,Wire
4/0 awg xhhw Black Copper,Wire
# 4 awg xhhw GREEN COPPER ,Wire
500 MCM THHN Copper ,Wire
3/0 Stranded Bare Copper,Wire
# 12 awg Solid Green THHN Cop,Wire
350 MCM Copper Wire Black,Wire
1/0 awg Copper wire ,Wire
250 mcm Copper wire,Wire
# 4awg Copper wire,Wire
#6 GREEN Copper wire,Wire
# 4awg GREEN Copper wire,Wire
# 8awg GREEN Copper wire,Wire
1/0 awg GREEN Copper wire,Wire
#1 Al Cable,Wire
#6 Stranded Copper THHN Green ,Wire
[THHN Wire] Gray / Brown Strip,Wire
250 thhn copper,Wire
2/0 thhn copper,Wire
#4 thhn copper,Wire
2/0 THHN,Wire
#4 Copper THHN,Wire
1/0 Copper THHN,Wire
wire cutting charge,Wire
#2 Copper THHN,Wire
350mcm CopperTHHN,Wire
500mcm Copper THHN,Wire
#1 Copper THHN,Wire
#6 Copper THHN,Wire
4/0 CopperTHHN,Wire
250mcm Copper THHN,Wire
#2 THHN Copper,Wire
3/0 THHN Copper,Wire
#12 SOL BK/W W/ BK STRIPE,Wire
#12 SOL R/W W/ R STRIPE,Wire
#12 SOL BL/W W/ BL STRIPE,Wire
#12 SOL GRN,Wire
#12 SOL BR/GY W/ BR STRIPE,Wire
#12 SOL OR/GY W OR STRIPE,Wire
#10 SOL BK/W W/ BK STRIPE,Wire
#10 SOL R/W W/ R STRIPE,Wire
#8 THHN STR - White/Black Stri,Wire
#8 THHN STR - White/Red Stripe,Wire
#8 THHN STR -  White/Blue Stri,Wire
#12 THHN SOLID BLACK 2500' REE,Wire
#12 THHN SOLID RED 2500' REELS,Wire
#12 THHN SOLID BLUE 2500' REEL,Wire
#12 THHN SOLID BROWN 2500' REE,Wire
#12 THHN SOLID ORANGE 2500' RE,Wire
#12 THHN SOLID YELLOW 2500' RE,Wire
#10 THHN SOLID BLACK 2500' REE,Wire
#10 THHN SOLID RED 2500' REELS,Wire
#10 THHN SOLID BLUE 2500' REEL,Wire
#10 THHN SOLID BROWN 2500' REE,Wire
#10 THHN SOLID ORANGE 2500' RE,Wire
#10 THHN SOLID YELLOW 2500' RE,Wire
#8 THHN STRANDED BLACK 1000' R,Wire
"[THHN Wire] Red, 8 AWG, Copper",Wire
"[THHN Wire] Blue, 8 AWG, Coppe",Wire
250mcm THHN Copper,Wire
#2 THHN Copper Green,Wire
#12 SOL Y/GY W/ Y STRIPE,Wire
#10 SOL BL/W W/ BL STRIPE,Wire
#10 SOL GRN,Wire
#10 SOL BR/GY W BR STRIPE,Wire
#10 SOL OR/GY W/ OR STRIPE,Wire
#10 SOL Y/GY W/ Y STRIPE,Wire
#12 solid copper THHN White/Bl,Wire
#12 solid copper THHN White/Re,Wire
THHN 8 BLU,Wire
[THHN Wire] White/Black Strip,Wire
"[THHN Wire] White/Red Stripe,",Wire
[THHN Wire] White/Blue Stripe,Wire
THHN-8-STR-BLK-CUT REEL,Wire
THHN-8-STR-RED-CUT REEL,Wire
THHN-8-STR-BLU-CUT REEL,Wire
[THHN Wire] White Black Stripe,Wire
"[THHN Wire] White/Red Stripe, ",Wire
"[THHN Wire] White/Blue Stripe,",Wire
[THHN Wire] White/Black Stripe,Wire
"[THHN Wire] White/Black Strpe,",Wire
"[THHN Wire] Brown, 8 AWG, Copp",Wire
"[THHN Wire] Orange, 8 AWG, Cop",Wire
"[THHN Wire] Yellow, 8 AWG, Cop",Wire
"[THHN Wire] Yellow, 6 AWG, Cop",Wire
"[THHN Wire] Orange, 6 AWG, Cop",Wire
"[THHN Wire] Brown, 6 AWG, Copp",Wire
#8 THHN STR 10000’ red on 5000,Wire
#8 THHN STR 10000’ blue on 500,Wire
#8 THHN STR 10000’ blk on 5000,Wire
#1 THHN Copper,Wire
#8 THHN Copper Stranded,Wire
#6 THHN Copper Stranded,Wire
#4 THHN Copper Stranded,Wire
350 MCM THHN Copper Stranded,Wire
1/0 THHN Copper Stranded,Wire
#2 THHN Copper Stranded,Wire
250 MCM THHN Copper Stranded,Wire
3/0 Bare Copper Stranded,Wire
12/2 With Ground MC Cable,Wire
1/0 THHN Copper,Wire
4/0 THHN Copper,Wire
#6 THHN Copper,Wire
#4 THHN Copper,Wire
#12 THHN Copper Solid Green 2,Wire
Green #12 Solid copper,Wire
Brown #12 Solid copper,Wire
orange #12 Solid copper,Wire
Green #12 solid copper,Wire
#12 Solid copper THHN green,Wire
#12 Solid copper THHN Brown ,Wire
#12 Solid copper THHN Orange,Wire
#12 Solid copper THHN Yellow ,Wire
#10 Solid THHN Copper Black,Wire
#10 Solid THHN Copper Red,Wire
#10 Solid THHN Copper Blue,Wire
#10 Solid THHN Copper White/Bl,Wire
#10 Solid THHN Copper White/Re,Wire
#10 Solid THHN Copper Green,Wire
#12 Solid THHN Copper Green,Wire
#12 Solid THHN Copper Blue,Wire
#12 Solid THHN Copper Red,Wire
#12 Solid THHN Copper White/Bl,Wire
#12 grey solid,Wire
#12 THHN Copper Solid Gray,Wire
#10 Solid THHN Copper White/B,Wire
750mcm copper THHN,Wire
#12 Green solid,Wire
#12 black solid,Wire
#12 White with black stripe so,Wire
12/3 with ground MC cable,Wire
#12 THHN solid CU wire Grey,Wire
#12 THHN CU solid wire brown,Wire
#12 THHN CU solid wire Orange,Wire
#12 THHN CU solid wire yellow,Wire
#12 THHN CU solid wire green,Wire
#12 THHN CU solid wire White/B,Wire
#12 THHN CU solid wire White/ ,Wire
#12 THHN solid wire Black,Wire
#12 THHN solid wire Red,Wire
#12 THHN solid wire Blue,Wire
#10 THHN CU solid wire green,Wire
#10 Solid THHN Copper White/R,Wire
"8# Thhn Thwn Orange Wire 350, ",Wire
"8# Thhn Thwn Yellow Wire 350, ",Wire
#12 wire Thhn Thwn green solid,Wire
#6 THHN green stranded,Wire
#12 THHN Solid Green,Wire
#12 THHN Solid Wite,Wire
feet #10 black thhn thwn wire,Wire
feet #12 green thhn thwn wire,Wire
feet #12 brown thhn thwn wire,Wire
feet #12 orange  thhn thwn wir,Wire
feet #12 yellow thhn thwn wire,Wire
Feet #10 yellow Thhn thwn wire,Wire
Feet #10 orange thhn thwn wire,Wire
#12 thhn thwn Solid Green wire,Wire
feet #12 thhn thwn green solid,Wire
feet #12 thhn thwn grey solid,Wire
THHN/THWN-2 61 STR 600V 90DEG ,Wire
#12 thhn thwn Brown solid wire,Wire
#12 Thhn thwn orange solid wir,Wire
#12 thhn thwn Green solid wire,Wire
Feet 18-6 wire,Wire
18-2 wire,Wire
WIRE CUT FEE,Wire
#12 White THHN solid copper 50,Wire
#12 Black THHN solid copper 50,Wire
#12 Green THHN solid copper 50,Wire
18/2 cable carol E2202S.30.02,Wire
Cat6E White Cable- 6CMP234BW C,Wire
18/6 cable. Prysmian Carol 18 ,Wire
WIREWY CLOSE PLT,Wire
CABLE RACKS,Wire
250 Mcm Aluminum Wire,Wire
3 Gauge Copper Wire,Wire
WIC MCA 12/2 SOL 1000R,Wire
12/4 MC SOL,Wire
12' long ceiling grid wire,Wire
#12 Jack chain,Wire
250 MCM Xhhw Aluminum,Wire
6 Strand Copper Wire Soft Draw,Wire
#12 Red THHN Copper Solid - 25,Wire
#12 Blue THHN Copper Solid - 2,Wire
#12 Green THHN Copper Solid - ,Wire
#10 Blue THHN Copper Solid - 2,Wire
#10 Green THHN Copper Solid - ,Wire
#8 Black THHN Copper Stranded ,Wire
#8 Green THHN Copper Stranded ,Wire
#6 Black THHN Copper Stranded ,Wire
#6 Green THHN Copper Stranded ,Wire
#12 Black THHN Copper Solid -,Wire
#12 White THHN Copper Solid -,Wire
#10 Black THHN Copper Solid -,Wire
#10 Red THHN Copper Solid - 25,Wire
#3 Gauge Direct Burial Cable F,Wire
"10 AWG THHN Solid Copper, Whi",Wire
3/0Cooper Wire,Wire
"1/0 AWG THHN Stranded, Copper,",Wire
"4 AWG THHN Stranded Copper, Bl",Wire
1/0 Wire Copper,Wire
WIC. THHN 1/0 STR BLK MR,Wire
"3 AWG THHN Stranded Copper, Bl",Wire
WIC. THHN 3 STR BLK MR,Wire
#8 Wire,Wire
3/0 Wire,Wire
SO 12/4 STR,Wire
#12 Wire,Wire
500' roll of # 10 awg SOLID GR,Wire
2/0 copper THHN 350' x 3,Wire
2/0 copper THHN 300' x 3,Wire
4/0 copper wire THWN,Wire
3/0 copper wire THWN,Wire
#2 cooper wire THWN,Wire
3/0 copper wire THHN *,Wire
2500' roll #12 awg grey wire ,Wire
2500' roll #12 awg brown thhn,Wire
2500' roll #12 awg orange thh,Wire
2500' roll #12 awg yellow thh,Wire
2500' roll #12 awg green thhn,Wire
2500' roll #12 awg white wire,Wire
2500' roll #10 awg white wire,Wire
2500' roll #14 awg purple thh,Wire
2500' roll #14 awg pink thhn ,Wire
21016-299BO WIRE COST,Wire
#2 AWG bare stranded,Wire
# 1 copper thhn,Wire
#2 copper thhn,Wire
#4 copper thhn,Wire
#6 copper thhn,Wire
#8 copper thhn,Wire
1/0 copper thhn,Wire
2/0 copper thhn,Wire
250 copper thhn,Wire
3/0 copper thhn,Wire
300 copper thhn,Wire
4/0 copper thhn,Wire
400 copper thhn,Wire
500 copper thhn,Wire
Brown #10 THHN,Wire
Orange #10 THHN,Wire
Yellow #10 THHN,Wire
Grey #10 THHN,Wire
black 12 solid THHN,Wire
blue 12 solid THHN,Wire
brown 12 solid thhn,Wire
orange 12 solid thhn,Wire
yellow 12 solid thhn,Wire
green 12 solid thhn,Wire
red 12 solid THHN,Wire
3 x 330' 4/0 thhn copper wire,Wire
330' #4 thhn copper wire - gre,Wire
3/0 Bare stranded copper wire ,Wire
2500' roll of Green #12 awg T,Wire
basic 18/2 cable,Wire
2500' roll of Green #12 awg TH,Wire
"[THHN Wire] Black, 600 MCM, Co",Wire
"[THHN Wire] Green, 500 MCM, Co",Wire
"2/0 AWG THHN Stranded Copper, ",Wire
"2 AWG THHN Stranded Copper, Bl",Wire
#8 THHN BLACK,Wire
"[THHN Wire] Black, 2 AWG, Copp",Wire
#10 thhn str.cu. Green,Wire
#8 thhn str.cu. Black,Wire
#8 Thhn Str.cu.,Wire
#2 Thhn Str.cu.,Wire
#10 Green str.cu.,Wire
#6thhn str.cu.,Wire
#8thhn str.cu.,Wire
#10str.cu.green,Wire
#8 Thhn Str Cu,Wire
#6 Thhn Str.cu,Wire
#10 Thhn Str.cu.,Wire
"[THHN Wire] Black, 8 AWG, Cop",Wire
#6 thhn str cu,Wire
"8 AWG, 19-Strand, Black, MTW, ",Wire
2C 18 DOORBELL WIRE,Wire
"10 AWG THHN Stranded Copper, R",Wire
14-3 ROMEX,Wire
10-2 ROMEX,Wire
10-3 ROMEX,Wire
CAT6,Wire
1G METAL OWB GANGABLE W/ROMEX ,Wire
8/3 romex,Wire
2 AWG XHHW-2 Stranded Aluminu,Wire
6 AWG XHHW-2 Stranded Aluminu,Wire
XHHW 2 STR,Wire
KEG/BUCKET INSULATED ROMEX STA,Wire
RG6 CATV WIRE,Wire
4 Pair 23 AWG CMP CAT6 - White,Wire
"[NM-B Wire] 14/2, White, 250'",Wire
"[NM-B Wire] 10/3, Orange, 250'",Wire
"[NM-B Wire] 14/3, White, 250'",Wire
18 Awg 4 Pair Tstat Wire,Wire
"[NM-B Wire] 8/2, Black, 250'",Wire
"[NM-B Wire] 8/3, Black, 250'",Wire
CRESTRON LSZH CABLE 2C-22 SHIE,Wire
14/2 RMX,Wire
4/0 to 3/4” groundrod through ,Wire
1C 4/0 CU 15KV 220 NLEPR (Lead,Wire
MVE34001 OMNI MVE 34001 4/0-1C,Wire
UDI - MULTI MOUNT CABLE SUPPOR,Wire
6 Solid Copper Wire Soft Drawn,Wire
4/0 Bare Copper Stranded,Wire
"4/0 AWG Bare Copper, 7 Strand,",Wire
250 mcm  XHHW Aluminum ,Wire
3/0 awg GREEN  Aluminum ,Wire
#1 awg GREEN Aluminum ,Wire
350 mcm XHHW Aluminum ,Wire
4/0 19-Strand Soft Drawn Coppe,Wire
1/0 XHHW ALUMINUM,Wire
500MCM XHHW ALUMINUM,Wire
400 MCM THHN Stranded Aluminum,Wire
400 XHHW-2 Stranded Aluminum B,Wire
4/0 Aluminum Green,Wire
500 MCM THHN Stranded Aluminum,Wire
1/0 AWG THHN Stranded Aluminum,Wire
3/0 AWG THHN/THWN-2 Stranded C,Wire
#6 XHHW ALUMINUM,Wire
Penn-Union L2A500 4 AWG-500 MC,Wire
500 MCM THHN Stranded Aluminu,Wire
#2 XHHW ALUM,Wire
"[THHN Wire] Brown, 500 MCM, Al",Wire
"[THHN Wire] Yellow, 500 MCM, A",Wire
"[THHN Wire] Gray, 500 MCM, Alu",Wire
"[THHN Wire] Orange, 500 MCM, A",Wire
"[THHN Wire] Green, 2/0 AWG, Al",Wire
Appleton STSR100 1 In Wire Mes,Wire
4/0 Bare Copper,Wire
"[Bare Copper Wire] 6 AWG, Sol",Wire
4/0 AWG XHHW-2 Stranded Copper,Wire
"4/0 AWG XHHW Stranded Copper, ",Wire
"2 AWG XHHW Stranded Copper, Gr",Wire
"6 AWG XHHW Stranded Copper, Gr",Wire
"1 AWG XHHW Stranded Copper, Br",Wire
"1 AWG XHHW Stranded Copper, Or",Wire
"1 AWG XHHW Stranded Copper, Ye",Wire
4/0 19-Strand Soft Drawn Copp,Wire
2 THHN-2 Stranded Copper Blac,Wire
2 THHN-2 Stranded Copper Black,Wire
"1 AWG XHHW Stranded Copper, B",Wire
"1 AWG XHHW Stranded Copper, O",Wire
"1 AWG XHHW Stranded Copper, Y",Wire
15KV IN-LINE SPLICE FOR 2-4/0 ,Wire
"45' CUTS 4/0 (BROWN,YELLOW,ORA",Wire
THHN/THWN-2 19 STR 600V 90DEG,Wire
"[THHN Wire] Brown, 4 AWG, Copp",Wire
"[THHN Wire] Orange, 4 AWG, Cop",Wire
"[THHN Wire] Yellow, 4 AWG, Cop",Wire
"[XHHW Wire] Black, 10 AWG, Cop",Wire
"[XHHW Wire] Red, 10 AWG, Coppe",Wire
"[XHHW Wire] Blue, 10 AWG, Copp",Wire
"[XHHW Wire] Green, 10 AWG, Cop",Wire
"[XHHW Wire] White, 10 AWG, Cop",Wire
"[THWN/2 Wire] Blue, 10 AWG, Co",Wire
14-2 NM-B ROMEX,Wire
14-3 NM-B ROMEX,Wire
12-2 NM-B ROMEX,Wire
8-2 NM-B ROMEX,Wire
Romex Stacker (cable Stacker ),Wire
"Southwire 4"" steel metallic sq",Wire
4/0 awg  90 degree Rated  XHH,Wire
# 1 awg XHHW GREEN Aluminum ,Wire
# 4 awg GREEN xhhw Aluminum ,Wire
"[THHN Wire] Black, 2 AWG, Alum",Wire
"[THHN Wire] Green, 8 AWG, Alu",Wire
"[THHN Wire] White, 8 AWG, Cop",Wire
"[THHN Wire] Green, 10 AWG, Co",Wire
"[THHN Wire] White, 10 AWG, Co",Wire
"[THHN Wire] Green, 12 AWG, Co",Wire
"[THHN Wire] Black, 4/0 AWG, Al",Wire
"[THHN Wire] Insulated Green, ",Wire
RG6 Cable Low Voltage TV,Wire
Cat 6 Cable Low Voltage Data,Wire
14/2 UNSHIELDED FPLP BLUE JACK,Wire
14/2 UNSHIELDED FPLP WHITE JAC,Wire
14/2 UNSHIELDED FPLP YELLOW JA,Wire
18 GA THHN SOLID BLACK,Wire
18 GA THHN SOLID RED,Wire
14/2 UNSHIELDED FPLR GREEN JA,Wire
NM-B - 6/3 Stranded Copper 100,Wire
